TRA_ID,ATA_TEXTO
2291,alo buenas noches no se si me podria ayudar con un patrullero aca en la gasolinera rircay que hay 3 vehiculos que estan haciendo asi tomando en una propiedad privada en una gasolinera. si ya que estan. si hay como unos 20 jovenes que estan tomando en la gasolinera. si. julio galarza. ya gracias master
2292,si buenas noches hagame un favor. mas que una emergencia es una queja. es la ineptitud de la policia de baños estoy justamente parqueado a una esquina se dan dos robos vino la policia se fue ya hice la llamada yo mismo soy el señor rodrigo barros trabajo en el ecu911 se fueron hace un minuto no hicieron acto del delito que cometieron y vuelta se llevo otro delito en otra casa y se fueron ahora mismo de nuevo por favor ahora. una patrulla que venga realmente pero no la patrulla que vino pues una patrulla realmente que venga a coger actos con este hijueputa que robo pues. si calle las peñas y calle el turco me llamo rodrigo barros numeto de cedula 010258019116. etilico o lo que sea pero osea señor yo robo o en que estado etilico esta usted para robar. carajo
2293,muy buenos dias tenga la bondad estoy llamando de aca de santa maria del vergel tenemos 4 personas sospechosas que estan en estado de embriaguez estan botando piedras contra las casas y golpeando las puertas de aca de aca del barrio estan 4 personas estan sacadas las camisetas estan peliando en la calle y estan patiando todas las puertas de aca del de las casas de aqui botando piedras a ver si nos puede colaborar con una unidad. se llama ciudadela santa maria del verguel calle calle galandola poe y la calle verne calle verne y de la poe galandola poe es aca en santa maria del verguel. verne verne julio verne y alandola poe. muchas gracias
2294,si muy buenas disculpe si me podria mandar una ambulancia por favor. aca a la calle pasacalle y antes de llegar al antes de llegar al parque miraflores lo que pasa es que. por eso pasacalle se llama. no y la otra no se pues es antes de llegar al parque miraflores. ja que relajo anda anda a ver cual es la otra calle que a ver dejeme ver ya ya le veo ya. lo que pasa es que nosotros estabamos cambiandonos de casa y llego un chico con que esta rota la cabeza esta sangrando y que dice que le han que le han robado. la pasacalle y la miguel angel caceres. mande. es casi mas o menos por donde hacen la feria los sabados de miraflores. de unos 23 24 años pero esta ya casi desmayandose por que. esta perdiendo mucha sangre. diego ruiz. oiga. digale para que mas seguro que se den es por la feria de miraflores en la pasacalle pasacalle. si ya gracias hasta luego
2295,como esta buenas noches tenga la bondad no se si tal vez me pueden ayudar enviando una pa patruya o algun policia que se de una vuelta aca por que estan unos jovenes aqui afuera peleando estan rompiendo botellas y todo por la miguel velez y gran colombia. m me parece que estan justo en la esquina al frente de una tienda. si es en la miguel velez antes de salir a la gran colombia. irene quille. mande. m no se estan como unos como unos 6 hombres y una chica. gracias
2296,hagame un favor. no se si puede mandar una patruya a agapantos aca aca arriba en baños. en el agapantos junto justamente en las cuatro esquinas. perdon. eso eso ahi esta un carro. si si si. ya viro un poste y estan recontra que borrachos que borrachos. es un chevrolet suita. si entonces ahorita a lo que paso por ahi digo señores digo que paso y sale con una llave de ruedas y quiere golpear a toditos los carros el señor mande rapido pero. es un chevrolet suite ya quedo ahi ese carro esta parado ahi. es un verde. oiga no las placas si que no vi pero ahi esta parado por que ya ese carro no se va a mover en un rato. henry guerrero. oiga pero vera que que yo estoy en plena esquina viendo el carro. ya gracias
2297,eh buenas buenas noches señor. eh mire el aquí en el sector de la calle guayas y la morona hay un par de de tipos de borrachos que están asi mas de media hora gritando sandeces y haciendo una bulla tremenda yo tengo hijos pequeños se despertaron y es una es un escándalo no se tienen que venia a retirar ese tipo de gente. vera eh esta eh que se yo a 50 a 10 metro de de la ea de c3 aquí es en la guaya y lay la. si no hay como perderse ahi están un par de tipos mas de media hora sin exagerar. ramiro ochoa. por favor ayúdeme
2298,quería ver si me puede enviar una unidad policial. eh unos amigos de mis sobrinos aquí están borrachos estoy queriendo mandar a la casa y no me hacen caso. en la calle la niña y francisco de orellana. un edificio de ladrillo visto de 3 pisos. andres arevalo. ya muchas gracias
2299,eh mire yo tengo un problema aquí es yo rento un local aquí para comprar aquí cacao en la alfonso andrade y calle maestro y tengo puesto el rotulo de que se vende se compra cacao y pasa un camion y me va rompiendo el rotulo. no no el camion está aquí estan aqui a lado de la mecanica. si no quería mover el carro del frente del local porque decia que el estan en la via publica. si. marcela sanchez. rodolfo acosta. okay muchas gracias
2300,si buenos días amor dime. alo como esta buenos días este hablo de la gasolinera troncaleña solicitando guardia policía para trasladar valores. correcto si de la troncal ayúdeme con su nombre. coordinamos su emergencia estamos para servirle
2301,buenos días sargento primero de aquí de artilleria le saluda. por favor que nos abra una ficha para hacer un patrullaje en control de chaullabamba. chaullabamba. control de hidrocarburo. si. okay para que nos comunique con. si. alo. si hagame un favor sabe que no se encuentra en la consolo ahorita el compañero ya le digo que le devuelva la llamada si. ya no se preocupe. hasta luego
2302,eh necesito una ambulancia talvez me puede ayudar con el cuerpo de bomberos del canton giron. esta una señora atropellada bueno necesita atencion. ya le golpeo bueno no atropello atropello esta golpeada. la dirección exacta estoy en la calle simon bolivar. y andres cordoba. daniel brito. coordinamos su emergencia estamos para servirle. pase bien
2303,buenos días tenga la bondad me puede auxiliar aquí en shio es una tienda cuatro esquinas. que ha bajado una guaguita en el rio dicen. si aquí en shio llame a los bomberos y no contestan esta ocupado creo que de ellos. acá a chordeleg la via al sigsig. eh no se si el vecino vino a decir no se si seria el papa o el tio vino acá a decir apuradito que le ayude auxiliar que la guaguita bajanse en el rio. si en el rio y el rio esta crecido. si aquí en las cuatro esquinas diga que llegue. lupe garzon aquí en la tienda. ya muchisimas gracias
2304,señor disculpe yo llame hace un ratito vera no es un niño yo le estoy llamado de la calle galo plaza lazo el señor se ha ahorcado. es a lado de una cancha sintetica atras del estadio. si por favor. si. sisi por dios esta bastante gente si aquí aqui justo aquí es una casa de techo tomate. ya gracias
2305,buenas me manda una ambulancia por favor para las peñas. lo que pasa es que la señora esta embarazada y se cayo. si pero le duele bastante el estomago. cuantos años tiene veci. mas o menos unos 32 años. es en la obispo alberto ordoñez crespo. esa y la bandolina es en parque de las peñas. isabel montero. perdón. ya ya
2306,si disculpe usted es la policia. lo que pasa es que en sol del bosque por la entrada a la ciudadela delia a unas dos cuadras a la izquierda hay un poco de tipos que hacen mucho ruido al frente en donde yo vivo y no dejan dormir ya tienen mas de tres horas. no no no es por la fritada de la señora delia. y ahora por donde sera. por por guayas y eloy alfaro. si. si estan tomando y hacen demasiada bulla. patricia zambrano. patricia zambrano. okey muchisimas gracias
2307,señor hace un buen momento llame al 101 y no se no no dicen que van a mandar pero ya son como 20 minutos los señores y siguen haciendo escandalo en la ricardo duran y antonio antes. vera estan tomando y estan gritando estan con las botellas patiando y estan haciendo escandalo osea es prohibido beber en la via y los señores no dejan dormir. gustavo neira. gracias
2308,buenos dias hay unos jovenes frente a nuestra casa peleando y llorando la chica llorando. 2 49 bernardo de legarda. 2 49. bernardo de legarda en la esquina con la 27 de febrero. de legarda aja atras del colegio biligue. coordinamos su emergencia estamos para servirle
2310,buenos dias oiga joven si hizo para la casa esa que estan haciendo una fiesta. por el coliseo hay una fiesta clandestina hay demasiados borrachos estan atrincandome. la tercera entrada del coliseo. la tercera entrada del coliseo por la cananga. no las calles todavia no tiene calles aqui no tiene nombre. ecolete. si. mande maria jose leon. gracias
2311,buenos dias haga un favor vera que en la ciudadela carlos crespi. hay un señor que no ha dejado dormir hasta ahorita con la musica el señor no se sabe que puedo hacer. si. desde ayer tarde imaginese esta hasta ahora. vera es en la ciudalela carlos crespi que dice la calle del morocho y oswaldo guayasamin sube rectito pasa el asfalto y sube de tierra y es la casa esta en los pinos pero es aca el sonido para aca abajo. la ahi dice oswaldo guayasamin. ya no sea malito gracias
2312,alo muy buenos dias. oiga necesitamos una ayuda aqui en la en guzho en la entrada al calvario hay una señorita drogada con una con una con un auto bien grande. si viniendo por el autopista en carmen del guzho ahi ahi es una parada de taxis estamos nosotros ahi. si. no esta en un en un en un nissan doble cabina esta la señorita. en un cremita una cossa de esas. jose pañi estamos aqui es una parada de taxis aqui tal vez conozca la lavadora de patiño a la orilla del rio. ya listo
2314,buenas tardes. hagame una favor llamo tal vez a preguntar por si tal vez ustedes no me podrian ayudar eh tengo a mi papa que que me imagino que esta perdido por el centro no se por que no lega a la casa ya le buscamos. mi papa tiene 72 años es enfermo osea sufre del alzheimer. si queria ver si tal vez ustedes derrepente no. si tenia un pantalon verde bien obscuro de tela. zapatos negros. y una chompa tejida azul con blanco mas azul que blanco. el salio de mañana y no no llega el sabe llegar a veces a las 12 el sabe irse aca nomas al terreno que tenemos pero esta vez no se ha ido alla. por ahi ya nos avisaron que le habian visto cerca de la mega tienda del sur y ya le andamos buscando pero no. si el si se llama vicente criollo pero el no responde el nombre por que el ya no se da cuenta quien es ni. si osea el no se da. pedro criollo. muchas gracias
